temperature	v_out
3.500000000000000e+01	2.513934e+00
5.500000000000000e+01	2.490136e+00
7.500000000000000e+01	2.517674e+00
9.500000000000000e+01	2.536965e+00
1.150000000000000e+02	2.498553e+00
1.250000000000000e+02	2.479865e+00
-4.500000000000000e+01	2.449097e+00
-2.500000000000000e+01	2.528506e+00
-5.000000000000000e+00	2.481970e+00
1.500000000000000e+01	2.493143e+00
3.500000000000000e+01	2.531149e+00
5.500000000000000e+01	2.439074e+00
7.500000000000000e+01	2.506534e+00
9.500000000000000e+01	2.480376e+00
1.150000000000000e+02	2.525862e+00
1.250000000000000e+02	2.488020e+00
-4.500000000000000e+01	2.499183e+00
-2.500000000000000e+01	2.589061e+00
-5.000000000000000e+00	2.516727e+00
1.500000000000000e+01	2.487365e+00
3.500000000000000e+01	2.530363e+00
5.500000000000000e+01	2.498870e+00
7.500000000000000e+01	2.487094e+00
9.500000000000000e+01	2.512183e+00
1.150000000000000e+02	2.543720e+00
1.250000000000000e+02	2.498405e+00
-4.500000000000000e+01	2.431952e+00
-2.500000000000000e+01	2.495458e+00
-5.000000000000000e+00	2.437186e+00
1.500000000000000e+01	2.480081e+00
3.500000000000000e+01	2.448124e+00
5.500000000000000e+01	2.518491e+00
7.500000000000000e+01	2.499616e+00
9.500000000000000e+01	2.532349e+00
1.150000000000000e+02	2.485264e+00
1.250000000000000e+02	2.500921e+00
-4.500000000000000e+01	2.478719e+00
-2.500000000000000e+01	2.448305e+00
-5.000000000000000e+00	2.527313e+00
1.500000000000000e+01	2.461755e+00
3.500000000000000e+01	2.485280e+00
5.500000000000000e+01	2.487883e+00
7.500000000000000e+01	2.531188e+00
9.500000000000000e+01	2.543686e+00
1.150000000000000e+02	2.494228e+00
1.250000000000000e+02	2.526107e+00
-4.500000000000000e+01	2.526053e+00
-2.500000000000000e+01	2.477644e+00
-5.000000000000000e+00	2.486048e+00
1.500000000000000e+01	2.498393e+00
3.500000000000000e+01	2.549923e+00
5.500000000000000e+01	2.502125e+00
7.500000000000000e+01	2.503619e+00
9.500000000000000e+01	2.446587e+00
1.150000000000000e+02	2.474938e+00
1.250000000000000e+02	2.475002e+00
-4.500000000000000e+01	2.486526e+00
-2.500000000000000e+01	2.503966e+00
-5.000000000000000e+00	2.504803e+00
1.500000000000000e+01	2.500792e+00
3.500000000000000e+01	2.503750e+00
5.500000000000000e+01	2.507177e+00
7.500000000000000e+01	2.487916e+00
9.500000000000000e+01	2.481594e+00
1.150000000000000e+02	2.484770e+00
1.250000000000000e+02	2.426164e+00
-4.500000000000000e+01	2.468121e+00
-2.500000000000000e+01	2.459054e+00
-5.000000000000000e+00	2.507029e+00
1.500000000000000e+01	2.466820e+00
3.500000000000000e+01	2.521481e+00
5.500000000000000e+01	2.485634e+00
7.500000000000000e+01	2.489088e+00
9.500000000000000e+01	2.493154e+00
1.150000000000000e+02	2.514386e+00
1.250000000000000e+02	2.527315e+00
-4.500000000000000e+01	2.438161e+00
-2.500000000000000e+01	2.503231e+00
-5.000000000000000e+00	2.502538e+00
1.500000000000000e+01	2.545201e+00
3.500000000000000e+01	2.503487e+00
5.500000000000000e+01	2.495307e+00
7.500000000000000e+01	2.539851e+00
9.500000000000000e+01	2.498089e+00
1.150000000000000e+02	2.517864e+00
1.250000000000000e+02	2.443508e+00
-4.500000000000000e+01	2.529369e+00
-2.500000000000000e+01	2.514261e+00
-5.000000000000000e+00	2.489985e+00
1.500000000000000e+01	2.512073e+00
3.500000000000000e+01	2.432310e+00
5.500000000000000e+01	2.540470e+00
7.500000000000000e+01	2.470041e+00
9.500000000000000e+01	2.507730e+00
1.150000000000000e+02	2.500209e+00
1.250000000000000e+02	2.524817e+00
-4.500000000000000e+01	2.449717e+00
-2.500000000000000e+01	2.460890e+00
-5.000000000000000e+00	2.497843e+00
1.500000000000000e+01	2.470783e+00
3.500000000000000e+01	2.462130e+00
5.500000000000000e+01	2.499477e+00
7.500000000000000e+01	2.468044e+00
9.500000000000000e+01	2.463605e+00
1.150000000000000e+02	2.493831e+00
1.250000000000000e+02	2.514520e+00
-4.500000000000000e+01	2.519449e+00
-2.500000000000000e+01	2.557934e+00
-5.000000000000000e+00	2.524044e+00
1.500000000000000e+01	2.484936e+00
3.500000000000000e+01	2.491941e+00
5.500000000000000e+01	2.508606e+00
7.500000000000000e+01	2.484652e+00
9.500000000000000e+01	2.447198e+00
1.150000000000000e+02	2.517791e+00
1.250000000000000e+02	2.490001e+00
-4.500000000000000e+01	2.505761e+00
-2.500000000000000e+01	2.491514e+00
